iata,icao,cbsa_code,cbsa_name,as_of
SFO,KSFO,SFBAY,"San Francisco-Oakland-San Jose, CA",2024-12-31
OAK,KOAK,SFBAY,"San Francisco-Oakland-San Jose, CA",2024-12-31
SJC,KSJC,SFBAY,"San Francisco-Oakland-San Jose, CA",2024-12-31
LAX,KLAX,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-12-31
SNA,KSNA,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-12-31
BOS,KBOS,14460,"Boston-Cambridge-Newton, MA-NH",2024-12-31
MHT,KMHT,14460,"Boston-Cambridge-Newton, MA-NH",2024-12-31
ORH,KORH,14460,"Boston-Cambridge-Newton, MA-NH",2024-12-31
BDL,KBDL,25540,"Hartford-West Hartford-East Hartford, CT",2024-12-31
PVD,KPVD,39300,"Providence-Warwick, RI-MA",2024-12-31
PWM,KPWM,38860,"Portland-South Portland, ME",2024-12-31
BTV,KBTV,15540,"Burlington-South Burlington, VT",2024-12-31
BGR,KBGR,12620,"Bangor, ME",2024-12-31
ANC,PANC,11260,"Anchorage, AK",2024-12-31
