iata,icao,forecast_year,passengers,operations,as_of
BOS,KBOS,2025,21090721,,2025-03-01
BOS,KBOS,2035,25730000,,2025-03-01
BDL,KBDL,2025,3285194,,2025-03-01
BDL,KBDL,2035,4010000,,2025-03-01
PVD,KPVD,2025,1984916,,2025-03-01
PVD,KPVD,2035,2420000,,2025-03-01
PWM,KPWM,2025,1221913,,2025-03-01
PWM,KPWM,2035,1490000,,2025-03-01
MHT,KMHT,2025,633257,,2025-03-01
MHT,KMHT,2035,770000,,2025-03-01
BTV,KBTV,2025,670636,,2025-03-01
BTV,KBTV,2035,820000,,2025-03-01
BGR,KBGR,2025,376456,,2025-03-01
BGR,KBGR,2035,460000,,2025-03-01
ORH,KORH,2025,112872,,2025-03-01
ORH,KORH,2035,138000,,2025-03-01
LAX,KLAX,2025,37760834,,2025-03-01
LAX,KLAX,2035,46070000,,2025-03-01
SNA,KSNA,2025,5370273,,2025-03-01
SNA,KSNA,2035,6550000,,2025-03-01
SFO,KSFO,2025,25078968,,2025-03-01
SFO,KSFO,2035,30600000,,2025-03-01
OAK,KOAK,2025,5292736,,2025-03-01
OAK,KOAK,2035,6460000,,2025-03-01
SJC,KSJC,2025,5822019,,2025-03-01
SJC,KSJC,2035,7100000,,2025-03-01
ANC,PANC,2025,2767856,,2025-03-01
ANC,PANC,2035,3380000,,2025-03-01
