year,month,airport,airport_name,arr_flights,arr_del15,arr_cancelled,arr_delay
2024,1,BOS,BOS,17100,3762,428,307800
2024,2,BOS,BOS,17100,3762,428,307800
2024,3,BOS,BOS,18000,3960,450,324000
2024,4,BOS,BOS,18000,3960,450,324000
2024,5,BOS,BOS,18000,3960,450,324000
2024,6,BOS,BOS,19440,4277,486,349920
2024,7,BOS,BOS,19440,4277,486,349920
2024,8,BOS,BOS,19440,4277,486,349920
2024,9,BOS,BOS,18000,3960,450,324000
2024,10,BOS,BOS,18000,3960,450,324000
2024,11,BOS,BOS,18000,3960,450,324000
2024,12,BOS,BOS,18000,3960,450,324000
2024,1,BDL,BDL,3990,638,72,47880
2024,2,BDL,BDL,3990,638,72,47880
2024,3,BDL,BDL,4200,672,76,50400
2024,4,BDL,BDL,4200,672,76,50400
2024,5,BDL,BDL,4200,672,76,50400
2024,6,BDL,BDL,4536,726,82,54432
2024,7,BDL,BDL,4536,726,82,54432
2024,8,BDL,BDL,4536,726,82,54432
2024,9,BDL,BDL,4200,672,76,50400
2024,10,BDL,BDL,4200,672,76,50400
2024,11,BDL,BDL,4200,672,76,50400
2024,12,BDL,BDL,4200,672,76,50400
2024,1,PVD,PVD,2945,442,59,32395
2024,2,PVD,PVD,2945,442,59,32395
2024,3,PVD,PVD,3100,465,62,34100
2024,4,PVD,PVD,3100,465,62,34100
2024,5,PVD,PVD,3100,465,62,34100
2024,6,PVD,PVD,3348,502,67,36828
2024,7,PVD,PVD,3348,502,67,36828
2024,8,PVD,PVD,3348,502,67,36828
2024,9,PVD,PVD,3100,465,62,34100
2024,10,PVD,PVD,3100,465,62,34100
2024,11,PVD,PVD,3100,465,62,34100
2024,12,PVD,PVD,3100,465,62,34100
2024,1,PWM,PWM,2090,293,46,20900
2024,2,PWM,PWM,2090,293,46,20900
2024,3,PWM,PWM,2200,308,48,22000
2024,4,PWM,PWM,2200,308,48,22000
2024,5,PWM,PWM,2200,308,48,22000
2024,6,PWM,PWM,2376,333,52,23760
2024,7,PWM,PWM,2376,333,52,23760
2024,8,PWM,PWM,2376,333,52,23760
2024,9,PWM,PWM,2200,308,48,22000
2024,10,PWM,PWM,2200,308,48,22000
2024,11,PWM,PWM,2200,308,48,22000
2024,12,PWM,PWM,2200,308,48,22000
2024,1,MHT,MHT,1330,173,25,11970
2024,2,MHT,MHT,1330,173,25,11970
2024,3,MHT,MHT,1400,182,27,12600
2024,4,MHT,MHT,1400,182,27,12600
2024,5,MHT,MHT,1400,182,27,12600
2024,6,MHT,MHT,1512,197,29,13608
2024,7,MHT,MHT,1512,197,29,13608
2024,8,MHT,MHT,1512,197,29,13608
2024,9,MHT,MHT,1400,182,27,12600
2024,10,MHT,MHT,1400,182,27,12600
2024,11,MHT,MHT,1400,182,27,12600
2024,12,MHT,MHT,1400,182,27,12600
2024,1,BTV,BTV,1045,125,31,8882
2024,2,BTV,BTV,1045,125,31,8882
2024,3,BTV,BTV,1100,132,33,9350
2024,4,BTV,BTV,1100,132,33,9350
2024,5,BTV,BTV,1100,132,33,9350
2024,6,BTV,BTV,1188,143,36,10098
2024,7,BTV,BTV,1188,143,36,10098
2024,8,BTV,BTV,1188,143,36,10098
2024,9,BTV,BTV,1100,132,33,9350
2024,10,BTV,BTV,1100,132,33,9350
2024,11,BTV,BTV,1100,132,33,9350
2024,12,BTV,BTV,1100,132,33,9350
2024,1,BGR,BGR,665,73,19,5320
2024,2,BGR,BGR,665,73,19,5320
2024,3,BGR,BGR,700,77,20,5600
2024,4,BGR,BGR,700,77,20,5600
2024,5,BGR,BGR,700,77,20,5600
2024,6,BGR,BGR,756,83,21,6048
2024,7,BGR,BGR,756,83,21,6048
2024,8,BGR,BGR,756,83,21,6048
2024,9,BGR,BGR,700,77,20,5600
2024,10,BGR,BGR,700,77,20,5600
2024,11,BGR,BGR,700,77,20,5600
2024,12,BGR,BGR,700,77,20,5600
2024,1,ORH,ORH,237,24,9,1659
2024,2,ORH,ORH,237,24,9,1659
2024,3,ORH,ORH,250,25,10,1750
2024,4,ORH,ORH,250,25,10,1750
2024,5,ORH,ORH,250,25,10,1750
2024,6,ORH,ORH,270,27,11,1890
2024,7,ORH,ORH,270,27,11,1890
2024,8,ORH,ORH,270,27,11,1890
2024,9,ORH,ORH,250,25,10,1750
2024,10,ORH,ORH,250,25,10,1750
2024,11,ORH,ORH,250,25,10,1750
2024,12,ORH,ORH,250,25,10,1750
2024,1,LAX,LAX,30400,7296,638,668800
2024,2,LAX,LAX,30400,7296,638,668800
2024,3,LAX,LAX,32000,7680,672,704000
2024,4,LAX,LAX,32000,7680,672,704000
2024,5,LAX,LAX,32000,7680,672,704000
2024,6,LAX,LAX,34560,8294,726,760320
2024,7,LAX,LAX,34560,8294,726,760320
2024,8,LAX,LAX,34560,8294,726,760320
2024,9,LAX,LAX,32000,7680,672,704000
2024,10,LAX,LAX,32000,7680,672,704000
2024,11,LAX,LAX,32000,7680,672,704000
2024,12,LAX,LAX,32000,7680,672,704000
2024,1,SNA,SNA,6175,1173,93,98800
2024,2,SNA,SNA,6175,1173,93,98800
2024,3,SNA,SNA,6500,1235,98,104000
2024,4,SNA,SNA,6500,1235,98,104000
2024,5,SNA,SNA,6500,1235,98,104000
2024,6,SNA,SNA,7020,1334,105,112320
2024,7,SNA,SNA,7020,1334,105,112320
2024,8,SNA,SNA,7020,1334,105,112320
2024,9,SNA,SNA,6500,1235,98,104000
2024,10,SNA,SNA,6500,1235,98,104000
2024,11,SNA,SNA,6500,1235,98,104000
2024,12,SNA,SNA,6500,1235,98,104000
2024,1,SFO,SFO,19950,5187,539,478800
2024,2,SFO,SFO,19950,5187,539,478800
2024,3,SFO,SFO,21000,5460,567,504000
2024,4,SFO,SFO,21000,5460,567,504000
2024,5,SFO,SFO,21000,5460,567,504000
2024,6,SFO,SFO,22680,5897,612,544320
2024,7,SFO,SFO,22680,5897,612,544320
2024,8,SFO,SFO,22680,5897,612,544320
2024,9,SFO,SFO,21000,5460,567,504000
2024,10,SFO,SFO,21000,5460,567,504000
2024,11,SFO,SFO,21000,5460,567,504000
2024,12,SFO,SFO,21000,5460,567,504000
2024,1,OAK,OAK,6650,1130,120,86450
2024,2,OAK,OAK,6650,1130,120,86450
2024,3,OAK,OAK,7000,1190,126,91000
2024,4,OAK,OAK,7000,1190,126,91000
2024,5,OAK,OAK,7000,1190,126,91000
2024,6,OAK,OAK,7560,1285,136,98280
2024,7,OAK,OAK,7560,1285,136,98280
2024,8,OAK,OAK,7560,1285,136,98280
2024,9,OAK,OAK,7000,1190,126,91000
2024,10,OAK,OAK,7000,1190,126,91000
2024,11,OAK,OAK,7000,1190,126,91000
2024,12,OAK,OAK,7000,1190,126,91000
2024,1,SJC,SJC,6460,1034,110,80750
2024,2,SJC,SJC,6460,1034,110,80750
2024,3,SJC,SJC,6800,1088,116,85000
2024,4,SJC,SJC,6800,1088,116,85000
2024,5,SJC,SJC,6800,1088,116,85000
2024,6,SJC,SJC,7344,1175,125,91800
2024,7,SJC,SJC,7344,1175,125,91800
2024,8,SJC,SJC,7344,1175,125,91800
2024,9,SJC,SJC,6800,1088,116,85000
2024,10,SJC,SJC,6800,1088,116,85000
2024,11,SJC,SJC,6800,1088,116,85000
2024,12,SJC,SJC,6800,1088,116,85000
2024,1,ANC,ANC,4750,855,166,66500
2024,2,ANC,ANC,4750,855,166,66500
2024,3,ANC,ANC,5000,900,175,70000
2024,4,ANC,ANC,5000,900,175,70000
2024,5,ANC,ANC,5000,900,175,70000
2024,6,ANC,ANC,5400,972,189,75600
2024,7,ANC,ANC,5400,972,189,75600
2024,8,ANC,ANC,5400,972,189,75600
2024,9,ANC,ANC,5000,900,175,70000
2024,10,ANC,ANC,5000,900,175,70000
2024,11,ANC,ANC,5000,900,175,70000
2024,12,ANC,ANC,5000,900,175,70000
2024,1,SAT,SAT,5890,884,94,67735
2024,2,SAT,SAT,5890,884,94,67735
2024,3,SAT,SAT,6200,930,99,71300
