iata,icao,hub_size,enplanements,prior_enplanements,yoy
BOS,KBOS,Large,21090721,19962678,0.0565
BDL,KBDL,Medium,3285194,3122212,0.0522
PVD,KPVD,Small,1984916,1732909,0.1454
PWM,KPWM,Small,1221913,1114714,0.0962
MHT,KMHT,Small,633257,645158,-0.0184
BTV,KBTV,Small,670636,649557,0.0325
BGR,KBGR,Non-hub,376456,357301,0.0536
ORH,KORH,Non-hub,112872,104747,0.0776
LAX,KLAX,Large,37760834,40956673,-0.0780
SNA,KSNA,Medium,5370273,5706332,-0.0589
SFO,KSFO,Large,25078968,24191159,0.0367
OAK,KOAK,Medium,5292736,5520812,-0.0413
SJC,KSJC,Medium,5822019,5958855,-0.0230
ANC,PANC,Medium,2767856,2681818,0.0321
SAT,KSAT,Medium,5466684,5336684,0.0244
