iata,state,faa_region,name,hub_size,enplanements,prior_enplanements,yoy,year
ATL,GA,SO,Atlanta Hartsfield/Jackson Atlanta International,Large,52511402,50950068,0.0306,2024
DFW,TX,SW,Fort Worth Dallas-Fort Worth International,Large,42351316,39246212,0.0791,2024
DEN,CO,NM,Denver Denver International,Large,40012895,37863967,0.0568,2024
ORD,IL,GL,Chicago Chicago O'Hare International,Large,38575693,35843104,0.0762,2024
LAX,CA,WP,Los Angeles Los Angeles International,Large,37760834,40956673,-0.078,2024
JFK,NY,EA,New York John F Kennedy International,Large,31466102,30804355,0.0215,2024
CLT,NC,SO,Charlotte Charlotte/Douglas International,Large,28523822,25896224,0.1015,2024
LAS,NV,WP,Las Vegas Harry Reid International,Large,28244966,27896199,0.0125,2024
MCO,FL,SO,Orlando Orlando International,Large,27859783,28033205,-0.0062,2024
MIA,FL,SO,Miami Miami International,Large,26588002,24717048,0.0757,2024
PHX,AZ,WP,Phoenix Phoenix Sky Harbor International,Large,25595723,23880504,0.0718,2024
SEA,WA,NM,Seattle Seattle-Tacoma International,Large,25414592,24594210,0.0334,2024
SFO,CA,WP,San Francisco International Airport San Francisco International,Large,25078968,24191159,0.0367,2024
EWR,NJ,EA,Newark Newark Liberty International,Large,24544320,24575320,-0.0013,2024
IAH,TX,SW,Houston George Bush Intcntl/Houston,Large,23349157,22228844,0.0504,2024
BOS,MA,NE,Boston General Edward Lawrence Logan International,Large,21090721,19962678,0.0565,2024
MSP,MN,GL,Minneapolis Minneapolis-St Paul International/Wold-Chamberlain,Large,18054481,17019128,0.0608,2024
FLL,FL,SO,Fort Lauderdale Fort Lauderdale/Hollywood International,Large,17096131,17063063,0.0019,2024
LGA,NY,EA,New York Laguardia,Large,16715567,16173073,0.0335,2024
DTW,MI,GL,Detroit Detroit Metro Wayne County,Large,16110696,15378601,0.0476,2024
PHL,PA,EA,Philadelphia Philadelphia International,Large,15102261,13658669,0.1057,2024
SLC,UT,NM,Salt Lake City Salt Lake City International,Large,13543570,12905368,0.0495,2024
BWI,MD,EA,Glen Burnie Baltimore/Washington International Thurgood Marshall,Large,13221461,12849721,0.0289,2024
IAD,VA,EA,Dulles Washington Dulles International,Large,13003234,12073571,0.077,2024
SAN,CA,WP,San Diego San Diego International,Large,12780013,12190183,0.0484,2024
DCA,VA,EA,Arlington Ronald Reagan Washington Ntl,Large,12750892,12365030,0.0312,2024
TPA,FL,SO,Tampa Tampa International,Large,12075591,11677632,0.0341,2024
BNA,TN,SO,Nashville Nashville International,Large,12058688,11227243,0.0741,2024
AUS,TX,SW,Austin Austin-Bergstrom International,Large,10678073,10833443,-0.0143,2024
HNL,HI,WP,Honolulu Daniel K Inouye International,Large,10449022,10149761,0.0295,2024
MDW,IL,GL,Chicago Chicago Midway International,Large,10360093,10659520,-0.0281,2024
DAL,TX,SW,Dallas Dallas Love Field,Medium,8654991,8559052,0.0112,2024
PDX,OR,NM,Portland Portland International,Medium,8639088,8123054,0.0635,2024
STL,MO,CE,St. Louis St Louis Lambert International,Medium,7807362,7307561,0.0684,2024
RDU,NC,SO,Raleigh Raleigh-Durham International,Medium,7584394,7119040,0.0654,2024
HOU,TX,SW,Houston William P Hobby,Medium,7116967,6800320,0.0466,2024
SMF,CA,WP,Sacramento Sacramento International,Medium,6679426,6371910,0.0483,2024
MSY,LA,SW,Kenner Louis Armstrong New Orleans International,Medium,6537092,6309212,0.0361,2024
SJU,PR,SO,San Juan Luis Munoz Marin International,Medium,6490669,5985001,0.0845,2024
MCI,MO,CE,Kansas City Kansas City International,Medium,5915078,5654068,0.0462,2024
SJC,CA,WP,San Jose Norman Y Mineta San Jose International,Medium,5822019,5958855,-0.023,2024
SAT,TX,SW,San Antonio San Antonio International,Medium,5466684,5336684,0.0244,2024
RSW,FL,SO,Fort Myers Southwest Florida International,Medium,5425293,4963269,0.0931,2024
SNA,CA,WP,Santa Ana John Wayne/Orange County,Medium,5370273,5706332,-0.0589,2024
OAK,CA,WP,Oakland Oakland San Francisco Bay,Medium,5292736,5520812,-0.0413,2024
IND,IN,GL,Indianapolis Indianapolis International,Medium,5181947,4788376,0.0822,2024
CLE,OH,GL,Cleveland Cleveland-Hopkins International,Medium,4950345,4803822,0.0305,2024
PIT,PA,EA,Pittsburgh Pittsburgh International,Medium,4862376,4493052,0.0822,2024
CVG,KY,SO,Hebron Cincinnati/Northern Kentucky International,Medium,4500414,4287722,0.0496,2024
