id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident
1,1,KBOS,10083,150,ASPH,1,0,04R
2,1,KBOS,7864,150,ASPH,1,0,09
3,2,KBDL,9510,200,ASPH,1,0,06
4,3,KPVD,7166,150,ASPH,1,0,05
5,4,KPWM,7264,150,ASPH,1,0,11
6,5,KMHT,9202,150,ASPH,1,0,17
7,6,KBTV,8320,150,ASPH,1,0,15
8,7,KBGR,11440,200,ASPH,1,0,15
9,8,KORH,7000,150,ASPH,1,0,11
10,9,KLAX,12923,150,CONC,1,0,06L
11,9,KLAX,10380,150,CONC,1,0,06R
12,10,KSNA,5701,150,ASPH,1,0,02L
13,11,KSFO,11870,200,ASPH,1,0,28L
14,11,KSFO,11870,200,ASPH,1,0,28R
15,12,KOAK,10520,150,ASPH,1,0,12
16,13,KSJC,11000,150,CONC,1,0,12L
17,14,PANC,12400,200,ASPH,1,0,07L
18,15,KSAT,8502,150,CONC,1,0,04
