ORIGIN,DEST,YEAR,MONTH,PASSENGERS,SEATS,DISTANCE,ORIGIN_COUNTRY,DEST_COUNTRY,CLASS,DEPARTURES_PERFORMED
ANC,JFK,2024,7,18500,22000,3370,US,US,F,62
ANC,JFK,2024,1,14200,18000,3370,US,US,F,48
ANC,SEA,2024,7,82000,95000,1445,US,US,F,310
ANC,NRT,2024,7,9800,12000,3465,US,JP,F,31
ANC,LAX,2024,7,21000,25000,2345,US,US,F,70
BOS,LAX,2024,7,64000,78000,2611,US,US,F,195
BOS,SFO,2024,7,41000,50000,2704,US,US,F,125
BOS,LHR,2024,7,38000,44000,3260,US,GB,F,120
BOS,JFK,2024,7,22000,28000,187,US,US,F,180
BOS,BDL,2024,7,800,1200,90,US,US,F,40
BOS,PVD,2024,7,200,400,50,US,US,F,20
LAX,SNA,2024,7,1500,2000,36,US,US,F,90
LAX,SFO,2024,7,95000,115000,337,US,US,F,420
LAX,JFK,2024,7,88000,105000,2475,US,US,F,280
SFO,JFK,2024,7,72000,86000,2586,US,US,F,230
SFO,OAK,2024,7,0,0,11,US,US,F,0
OAK,LAX,2024,7,28000,34000,337,US,US,F,150
SJC,LAX,2024,7,26000,32000,308,US,US,F,140
SNA,SFO,2024,7,18000,22000,372,US,US,F,95
SNA,DEN,2024,7,16000,20000,846,US,US,F,80
PWM,BOS,2024,7,6500,8500,100,US,US,F,90
BTV,BOS,2024,7,4200,5500,180,US,US,F,60
BGR,BOS,2024,7,3100,4200,200,US,US,F,45
ORH,BOS,2024,7,400,800,45,US,US,F,20
MHT,BOS,2024,7,900,1400,50,US,US,F,30
BDL,ORD,2024,7,14000,18000,780,US,US,F,70
PVD,ORD,2024,7,11000,15000,800,US,US,F,55
ANC,ORD,2024,7,16000,20000,2842,US,US,F,52
BOS,MCO,2024,7,48000,58000,1121,US,US,F,160
SFO,LAX,2024,1,70000,90000,337,US,US,F,380
LAX,SNA,2024,1,900,1400,36,US,US,F,70
ANC,JFK,2024,7,0,0,3370,US,US,G,4
