origin,dest,year,month,international,as_of,passengers,seats,distance_km
ANC,JFK,2024,1,False,2024-12-31,14200,18000,5423.489280000001
ANC,JFK,2024,7,False,2024-12-31,18500,22000,5423.489280000001
ANC,LAX,2024,7,False,2024-12-31,21000,25000,3773.91168
ANC,NRT,2024,7,True,2024-12-31,9800,12000,5576.3769600000005
ANC,ORD,2024,7,False,2024-12-31,16000,20000,4573.755648
ANC,SEA,2024,7,False,2024-12-31,82000,95000,2325.50208
BDL,ORD,2024,7,False,2024-12-31,14000,18000,1255.28832
BGR,BOS,2024,7,False,2024-12-31,3100,4200,321.8688
BOS,BDL,2024,7,False,2024-12-31,800,1200,144.84096
BOS,JFK,2024,7,False,2024-12-31,22000,28000,300.947328
BOS,LAX,2024,7,False,2024-12-31,64000,78000,4201.997184
BOS,LHR,2024,7,True,2024-12-31,38000,44000,5246.46144
BOS,MCO,2024,7,False,2024-12-31,48000,58000,1804.074624
BOS,PVD,2024,7,False,2024-12-31,200,400,80.4672
BOS,SFO,2024,7,False,2024-12-31,41000,50000,4351.666176000001
BTV,BOS,2024,7,False,2024-12-31,4200,5500,289.68192
LAX,JFK,2024,7,False,2024-12-31,88000,105000,3983.1264
LAX,SFO,2024,7,False,2024-12-31,95000,115000,542.348928
LAX,SNA,2024,1,False,2024-12-31,900,1400,57.936384000000004
LAX,SNA,2024,7,False,2024-12-31,1500,2000,57.936384000000004
MHT,BOS,2024,7,False,2024-12-31,900,1400,80.4672
OAK,LAX,2024,7,False,2024-12-31,28000,34000,542.348928
ORH,BOS,2024,7,False,2024-12-31,400,800,72.42048
PVD,ORD,2024,7,False,2024-12-31,11000,15000,1287.4752
PWM,BOS,2024,7,False,2024-12-31,6500,8500,160.9344
SFO,JFK,2024,7,False,2024-12-31,72000,86000,4161.763584
SFO,LAX,2024,1,False,2024-12-31,70000,90000,542.348928
SJC,LAX,2024,7,False,2024-12-31,26000,32000,495.677952
SNA,DEN,2024,7,False,2024-12-31,16000,20000,1361.505024
SNA,SFO,2024,7,False,2024-12-31,18000,22000,598.675968
